Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-1024,dotnetcore3.1,x86_64,no,no,47111,1024MB,AVERAGE,20,187.383,144.512,1.939,2.266,2.04,1.713,1.635,2.052,4.046,1.62,2.808,2.251,1.98,4.081,2.141,1.89,2.161,2.449,2.193,2.367,1.931,1.826,2.217,1.614,1.625,1.596,2.881,55.316
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-128,dotnetcore3.1,x86_64,no,no,47111,128MB,AVERAGE,20,188.797,1340.369,12.766,4.661,3.202,2.337,2.72,3.977,2.209,2.707,6.319,6.065,7.04,9.463,6.739,3.568,3.535,4.381,3.896,4.661,2.925,3.563,3.745,2.967,3.778,3.218,3.997,114.432
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-1769,dotnetcore3.1,x86_64,no,no,47111,1769MB,AVERAGE,20,182.659,86.36,2.069,1.845,1.895,1.732,1.662,1.652,2.708,2.204,1.952,1.986,2.034,3.268,1.806,2.471,1.799,3.098,2.985,2.949,2.586,1.749,1.775,1.649,2.117,1.849,2.244,54.078
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-256,dotnetcore3.1,x86_64,no,no,47111,256MB,AVERAGE,20,187.803,655.998,2.624,1.902,2.185,1.809,2.073,2.078,1.609,1.694,3.776,4.495,4.217,5.938,2.431,3.133,2.121,1.793,2.693,1.76,1.731,1.714,1.64,1.993,2.127,1.775,1.876,61.181
SystemTextJson,SystemTextJson-Core31-x64-NoTC-NoR2R-512,dotnetcore3.1,x86_64,no,no,47111,512MB,AVERAGE,20,187.131,303.368,2.26,2.245,1.872,1.717,2.167,1.942,1.841,2.122,2.366,1.831,2.252,3.054,1.793,4.568,2.355,1.727,5.823,3.434,2.437,1.677,3.282,1.914,1.873,1.594,2.589,60.728
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-1024,dotnetcore3.1,x86_64,no,yes,54483,1024MB,AVERAGE,20,181.295,134.59,2.136,1.947,1.72,2.679,2.34,1.677,2.567,1.675,2.539,2.268,3.089,2.575,2.281,1.736,2.052,1.584,1.947,1.758,1.715,1.963,2.129,1.639,1.753,1.877,1.719,51.357
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-128,dotnetcore3.1,x86_64,no,yes,54483,128MB,AVERAGE,20,188.17,1268.925,7.726,4.593,3.382,5.775,3.121,7.928,3.111,5.012,12.838,9.761,11.348,5.238,7.355,3.172,4.288,6.816,6.376,4.012,2.795,2.712,4.761,3.81,3.784,8.884,3.235,141.829
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-1769,dotnetcore3.1,x86_64,no,yes,54483,1769MB,AVERAGE,20,197.934,88.884,2.512,2.578,1.81,2.258,1.763,1.983,5.445,2.793,2.285,1.844,4.759,2.177,2.067,1.96,1.98,6.746,1.816,2.42,2.895,2.25,2.238,2.1,1.677,2.486,2.208,65.043
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-256,dotnetcore3.1,x86_64,no,yes,54483,256MB,AVERAGE,20,179.32,625.516,3.649,2.078,1.799,1.843,1.887,1.793,2.998,1.718,2.621,2.208,3.89,3.357,2.774,6.024,2.107,1.942,1.962,2.053,1.753,2.153,2.584,2.211,3.027,2.6,2.927,63.949
SystemTextJson,SystemTextJson-Core31-x64-NoTC-YesR2R-512,dotnetcore3.1,x86_64,no,yes,54483,512MB,AVERAGE,20,181.607,286.109,2.722,1.817,1.685,1.766,1.918,1.647,1.695,1.919,2.821,2.58,1.98,2.923,2.66,2.702,1.995,2.371,2.587,2.066,1.754,2.851,1.821,1.712,2.065,1.851,2.281,54.181
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-1024,dotnetcore3.1,x86_64,yes,no,47111,1024MB,AVERAGE,20,173.006,133.506,2.225,2.764,1.798,1.815,1.696,2.237,2.014,2.287,3.71,4.352,3.783,3.236,4.737,2.654,4.054,2.535,4.566,3.832,4.623,3.332,2.626,4.298,3.564,3.803,2.818,79.354
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-128,dotnetcore3.1,x86_64,yes,no,47111,128MB,AVERAGE,20,179.164,1369.859,10.08,6.929,4.132,5.009,5.322,13.026,11.679,36.616,55.341,49.622,44.398,51.08,51.396,57.127,51.33,57.259,40.448,34.365,48.069,33.046,30.78,39.397,39.058,31.736,53.61,860.849
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-1769,dotnetcore3.1,x86_64,yes,no,47111,1769MB,AVERAGE,20,172.832,85.162,2.693,2.219,2.192,1.726,1.78,1.88,2.266,2.944,3.316,7.679,4.256,8.39,5.215,4.814,4.556,4.228,4.28,3.735,2.139,2.584,2.451,2.584,3.076,2.035,1.831,84.864
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-256,dotnetcore3.1,x86_64,yes,no,47111,256MB,AVERAGE,20,170.097,620.026,6.46,3.368,2.702,3.571,4.324,4.888,4.795,6.485,14.669,19.66,15.82,22.742,9.284,13.514,22.695,18.368,10.064,18.883,11.623,8.392,10.165,10.248,15.619,10.209,7.436,275.979
SystemTextJson,SystemTextJson-Core31-x64-YesTC-NoR2R-512,dotnetcore3.1,x86_64,yes,no,47111,512MB,AVERAGE,20,175.749,289.322,2.837,2.188,1.812,1.853,1.943,4.377,2.652,4.468,6.27,3.502,7.263,6.143,5.541,7.336,6.749,6.461,4.977,5.37,3.598,2.559,2.325,4.144,4.905,2.926,2.997,105.191
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-1024,dotnetcore3.1,x86_64,yes,yes,54483,1024MB,AVERAGE,20,175.538,132.648,2.431,2.739,1.806,2.183,1.703,2.368,1.909,3.415,6.008,4.904,5.846,6.067,3.44,3.846,2.277,3.172,3.196,3.058,2.928,3.139,2.15,2.133,4.729,2.243,2.257,79.94
SystemTextJson,SystemTextJson-Core31-x64-YesTC-YesR2R-128,dotnetcore3.1,x86_64,yes,yes,54483,128MB,AVERAGE,20,190.884,1372.269,8.743,4.745,4.666,5.887,11.595,9.744,43.903,43.329,54.803,60.799,52.701,65.157,50.93,53.699,54.825,47.104,40.17,42.39,50.994,45.238,30.71,45.49,46.696,34.618,28.54,937.468
