Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,no,yes,no,2197171,1024MB,100,307.872,266.948,198.002,27.949185498340004
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,no,yes,no,2197171,128MB,100,310.452,2441.758,521.767,26.374022348020002
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,no,yes,no,2197171,1769MB,100,308.961,159.988,192.338,30.344302417470505
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-00256,dotnetcore3.1,x86_64,no,yes,no,2197171,256MB,100,304.814,1200.015,267.084,26.312925975827497
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-00512,dotnetcore3.1,x86_64,no,yes,no,2197171,512MB,100,315.163,566.603,209.719,26.66935460534999
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-NoPreJIT-05120,dotnetcore3.1,x86_64,no,yes,no,2197171,5120MB,100,303.573,155.986,199.006,49.7826758319
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-YesPreJIT-01024,dotnetcore3.1,x86_64,no,yes,yes,2197171,1024MB,100,381.651,203.205,190.684,26.76482646296
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-YesPreJIT-00128,dotnetcore3.1,x86_64,no,yes,yes,2197171,128MB,100,380.511,1863.1,469.092,25.0587426341325
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-YesPreJIT-01769,dotnetcore3.1,x86_64,no,yes,yes,2197171,1769MB,100,384.579,121.224,196.106,29.336693089430362
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-YesPreJIT-00256,dotnetcore3.1,x86_64,no,yes,yes,2197171,256MB,100,387.898,923.415,279.501,25.212162524304997
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-YesPreJIT-00512,dotnetcore3.1,x86_64,no,yes,yes,2197171,512MB,100,383.073,435.32,210.799,25.58433410198
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-NoTC-YesR2R-YesPreJIT-05120,dotnetcore3.1,x86_64,no,yes,yes,2197171,5120MB,100,373.683,118.545,200.437,46.78184483025
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-NoPreJIT-01024,dotnetcore3.1,x86_64,yes,no,no,787425,1024MB,100,332.419,416.012,217.605,30.76029612055
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-NoPreJIT-00128,dotnetcore3.1,x86_64,yes,no,no,787425,128MB,148,331.372,4520.349,3412.741,36.727304169407084
AwsNewtonsoftJson,AwsNewtonsoftJson-Core31-x64-YesTC-NoR2R-NoPreJIT-01769,dotnetcore3.1,x86_64,yes,no,no,787425,1769MB,100,340.814,256.909,219.52,33.91751680997875
